experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error,is_replanning_needed,num_replanning_attempts,executed_path_length
32,1,1,1,0.010015319873425297,35.437071162499606,55.365749359,0.9895612531483913,0,2024-09-11-07-31-19,9.71890301045437e-05,0,0,1.204589989500498
33,1,1,1,0.00811817135711557,35.9912284282701,52.873994112,0.9896321240768907,0,2024-09-11-07-32-39,0.00011656943481943117,0,0,1.2375396375180436
34,1,1,1,0.014658729433066436,35.08287913142722,48.827235461,0.9896248679481676,0,2024-09-11-07-33-56,8.695005513299146e-05,0,0,1.2684627871034708
35,1,1,1,0.014882085892218016,35.05826890741175,50.629995585,0.9886706375754163,0,2024-09-11-07-35-08,0.00011763461548911966,0,0,1.2255424136193527
36,1,1,1,0.009896864424969997,36.34116745204691,61.22533083,0.9903915369429921,0,2024-09-11-07-36-21,0.00013466223511500303,0,0,1.2319292434218265
37,1,1,1,0.008327780897609414,35.768468291500355,61.450772286,0.9898170234288135,0,2024-09-11-07-37-49,0.00011781867035352993,0,0,1.2129990312729542
38,1,1,1,0.006955674590652724,35.54583248482547,48.247568846,0.9893105701049087,0,2024-09-11-07-39-17,0.0003780040432613951,0,0,1.3231375376893741
39,1,1,1,0.007834571332353626,35.651140070440356,67.851967573,0.9922095569283399,0,2024-09-11-07-40-27,0.00010539119209373559,0,0,1.1326460781646541
40,1,1,1,0.009116219887290814,35.73344544726524,57.397207975,0.9915925214785453,0,2024-09-11-07-42-05,0.00010935013245217292,0,0,1.1894159194089322
41,1,1,1,0.0077062279107601005,35.6332996834431,61.010347605,0.9895113847963849,0,2024-09-11-07-43-28,0.0001119394829508897,0,0,1.209495132939275
42,1,1,1,0.008349343388060813,35.50138294121115,57.349878549,0.9882735296148194,0,2024-09-11-07-44-55,0.0001802731830099748,0,0,1.290504378882346
